#Time(s)	Thru(Gbps)
0.000012 0.000000
0.000024 0.000000
0.000036 0.000000
0.000048 0.000000
0.000060 0.000000
0.000072 0.000000
0.000084 0.000000
0.000096 0.000000
0.000108 0.000000
0.000120 0.000000
0.000132 0.000000
0.000144 0.000000
0.000156 0.000000
0.000168 0.000000
0.000180 0.000000
0.000192 0.000000
0.000204 0.000000
0.000216 0.000000
0.000228 0.000000
0.000240 0.000000
0.000252 0.000000
0.000264 0.000000
0.000276 0.000000
0.000288 0.000000
0.000300 0.000000
0.000312 0.000000
0.000324 0.000000
0.000336 0.000000
0.000348 0.000000
0.000360 0.000000
0.000372 0.000000
0.000384 0.000000
0.000396 0.000000
0.000408 0.000000
0.000420 0.000000
0.000432 0.000000
0.000444 0.000000
0.000456 0.000000
0.000468 0.000000
0.000480 0.000000
0.000492 0.000000
0.000504 0.000000
0.000516 0.000000
0.000528 0.000000
0.000540 0.000000
0.000552 0.000000
0.000564 0.000000
0.000576 0.000000
0.000588 0.000000
0.000600 0.000000
0.000612 0.000000
0.000624 0.000000
0.000636 0.000000
0.000648 0.000000
0.000660 0.000000
0.000672 0.000000
0.000684 0.000000
0.000696 0.000000
0.000708 0.000000
0.000720 0.000000
0.000732 0.000000
0.000744 0.000000
0.000756 0.000000
0.000768 0.000000
0.000780 0.000000
0.000792 0.000000
0.000804 0.000000
0.000816 0.000000
0.000828 0.000000
0.000840 0.000000
0.000852 0.000000
0.000864 0.000000
0.000876 0.000000
0.000888 0.000000
0.000900 0.000000
0.000912 0.000000
0.000924 0.000000
0.000936 0.000000
0.000948 0.000000
0.000960 0.000000
0.000972 0.000000
0.000984 0.000000
0.000996 0.000000
0.001008 0.000000
0.001020 0.000000
0.001032 0.000000
0.001044 0.000000
0.001056 0.000000
0.001068 0.000000
0.001080 0.000000
0.001092 0.000000
0.001104 0.000000
0.001116 0.000000
0.001128 0.000000
0.001140 0.000000
0.001152 0.000000
0.001164 0.000000
0.001176 0.000000
0.001188 0.000000
0.001200 0.000000
0.001212 0.000000
0.001224 0.000000
0.001236 0.000000
0.001248 0.000000
0.001260 0.000000
0.001272 0.000000
0.001284 0.000000
0.001296 0.000000
0.001308 0.000000
0.001320 0.000000
0.001332 0.000000
0.001344 0.000000
0.001356 0.000000
0.001368 0.000000
0.001380 0.000000
0.001392 0.000000
0.001404 0.000000
0.001416 0.000000
0.001428 0.000000
0.001440 0.000000
0.001452 0.000000
0.001464 0.000000
0.001476 0.000000
0.001488 0.000000
0.001500 0.000000
0.001512 0.000000
0.001524 0.000000
0.001536 0.000000
0.001548 0.000000
0.001560 0.000000
0.001572 0.000000
0.001584 0.000000
0.001596 0.000000
0.001608 0.000000
0.001620 0.000000
0.001632 0.000000
0.001644 0.000000
0.001656 0.000000
0.001668 0.000000
0.001680 0.000000
0.001692 0.000000
0.001704 0.000000
0.001716 0.000000
0.001728 0.000000
0.001740 0.000000
0.001752 0.000000
0.001764 0.000000
0.001776 0.000000
0.001788 0.000000
0.001800 0.000000
0.001812 0.000000
0.001824 0.000000
0.001836 0.000000
0.001848 0.000000
0.001860 0.000000
0.001872 0.000000
0.001884 0.000000
0.001896 0.000000
0.001908 0.000000
0.001920 0.000000
0.001932 0.000000
0.001944 0.000000
0.001956 0.000000
0.001968 0.000000
0.001980 0.000000
0.001992 0.000000
0.002004 3.640000
0.002016 51.688000
0.002028 42.952000
0.002040 43.680000
0.002052 50.232000
0.002064 42.224000
0.002076 47.320000
0.002088 46.592000
0.002100 46.592000
0.002112 46.592000
0.002124 46.592000
0.002136 46.592000
0.002148 46.592000
0.002160 46.592000
0.002172 46.592000
0.002184 46.592000
0.002196 46.592000
0.002208 46.592000
0.002220 46.592000
0.002232 47.320000
0.002244 45.864000
0.002256 47.320000
0.002268 46.592000
0.002280 46.592000
0.002292 46.592000
0.002304 46.592000
0.002316 46.592000
0.002328 46.592000
0.002340 46.592000
0.002352 46.592000
0.002364 46.592000
0.002376 46.592000
0.002388 46.592000
0.002400 46.592000
0.002412 46.592000
0.002424 46.592000
0.002436 46.592000
0.002448 46.592000
0.002460 46.592000
0.002472 47.320000
0.002484 45.864000
0.002496 47.320000
0.002508 46.592000
0.002520 46.592000
0.002532 46.592000
0.002544 45.864000
0.002556 47.320000
0.002568 45.864000
0.002580 47.320000
0.002592 46.592000
0.002604 46.592000
0.002616 46.592000
0.002628 46.592000
0.002640 46.592000
0.002652 47.320000
0.002664 45.864000
0.002676 46.592000
0.002688 46.592000
0.002700 47.320000
0.002712 45.864000
0.002724 47.320000
0.002736 46.592000
0.002748 45.864000
0.002760 46.592000
0.002772 46.592000
0.002784 46.592000
0.002796 46.592000
0.002808 46.592000
0.002820 47.320000
0.002832 45.864000
0.002844 47.320000
0.002856 45.864000
0.002868 47.320000
0.002880 45.864000
0.002892 47.320000
0.002904 46.592000
0.002916 46.592000
0.002928 46.592000
0.002940 46.592000
0.002952 46.592000
0.002964 46.592000
0.002976 46.592000
0.002988 46.592000
0.003000 46.592000
0.003012 29.848000
0.003024 25.480000
0.003036 17.472000
0.003048 26.936000
0.003060 24.024000
0.003072 26.208000
0.003084 26.936000
0.003096 24.752000
0.003108 26.936000
0.003120 26.208000
0.003132 26.208000
0.003144 26.208000
0.003156 26.208000
0.003168 26.936000
0.003180 26.936000
0.003192 26.936000
0.003204 26.208000
0.003216 26.936000
0.003228 26.208000
0.003240 27.664000
0.003252 26.936000
0.003264 26.936000
0.003276 26.936000
0.003288 27.664000
0.003300 26.936000
0.003312 27.664000
0.003324 27.664000
0.003336 26.936000
0.003348 27.664000
0.003360 28.392000
0.003372 27.664000
0.003384 27.664000
0.003396 28.392000
0.003408 28.392000
0.003420 28.392000
0.003432 28.392000
0.003444 28.392000
0.003456 28.392000
0.003468 28.392000
0.003480 28.392000
0.003492 28.392000
0.003504 28.392000
0.003516 29.120000
0.003528 29.120000
0.003540 28.392000
0.003552 29.120000
0.003564 29.120000
0.003576 28.392000
0.003588 29.120000
0.003600 28.392000
0.003612 29.120000
0.003624 29.120000
0.003636 29.120000
0.003648 29.120000
0.003660 29.120000
0.003672 29.120000
0.003684 29.120000
0.003696 29.848000
0.003708 29.120000
0.003720 29.848000
0.003732 29.848000
0.003744 29.120000
0.003756 29.848000
0.003768 29.848000
0.003780 29.848000
0.003792 29.848000
0.003804 29.848000
0.003816 29.120000
0.003828 30.576000
0.003840 29.848000
0.003852 29.848000
0.003864 29.848000
0.003876 29.848000
0.003888 29.848000
0.003900 29.848000
0.003912 29.848000
0.003924 29.848000
0.003936 30.576000
0.003948 29.848000
0.003960 30.576000
0.003972 29.848000
0.003984 29.848000
0.003996 29.848000
0.004008 24.752000
0.004020 16.016000
0.004032 10.192000
0.004044 13.832000
0.004056 13.104000
0.004068 12.376000
0.004080 13.832000
0.004092 13.104000
0.004104 13.104000
0.004116 14.560000
0.004128 13.832000
0.004140 13.832000
0.004152 13.832000
0.004164 13.832000
0.004176 13.832000
0.004188 13.832000
0.004200 13.832000
0.004212 14.560000
0.004224 13.832000
0.004236 14.560000
0.004248 14.560000
0.004260 14.560000
0.004272 14.560000
0.004284 14.560000
0.004296 14.560000
0.004308 15.288000
0.004320 14.560000
0.004332 15.288000
0.004344 14.560000
0.004356 15.288000
0.004368 14.560000
0.004380 15.288000
0.004392 15.288000
0.004404 14.560000
0.004416 15.288000
0.004428 15.288000
0.004440 14.560000
0.004452 15.288000
0.004464 15.288000
0.004476 14.560000
0.004488 15.288000
0.004500 14.560000
0.004512 15.288000
0.004524 15.288000
0.004536 15.288000
0.004548 15.288000
0.004560 15.288000
0.004572 15.288000
0.004584 15.288000
0.004596 15.288000
0.004608 15.288000
0.004620 15.288000
0.004632 16.016000
0.004644 15.288000
0.004656 15.288000
